"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"LVA",2011,251046.328125,2092493,64589,1.2061125085,7.25795416666667,51.0389333333333,0.0115173143387685,0.0308670088741038,0.119974751707652
"LVA",2012,270556.25,2066374,64589,1.2706579889,6.10697666666667,66.0312916666667,0.0279117489942298,0.0312571683538411,0.130932856298037
"LVA",2013,282035.4375,2040784,64589,1.2415811003,7.08723833333333,52.8003,0.00521406124046381,0.0316491113219233,0.138199553455927
"LVA",2014,308635.96875,2016125,64589,1.2292719379,7.41488583333333,55.92515,0.0750058514184131,0.0320362080724161,0.153083746667493
"MAR",2002,376140.28125,29512368,710850,0.6053408641,18.2322166666667,30.0578141666667,0.000385458574582572,0.024086511797359,0.0127451745400437
"MAR",2003,370418.75,29843937,710850,0.5832774268,18.3333041666667,29.2638616666667,0.00969727953214603,0.0238189083430916,0.0124118594004538
"MAR",2004,374140.03125,30179285,710850,0.6159653347,17.8283333333333,24.0428075,0.0320696143246132,0.0235542359601959,0.0123972463645179
"MAR",2005,385095.40625,30521070,710850,0.6791485449,18.06352,19.2337958333333,0.0453431860003166,0.0232904678636758,0.012617362571168
"MAR",2006,454135.4375,30869346,710850,0.7149628678,18.3739516666667,28.936615,0.018352609174565,0.023027698740362,0.0147115341381058
"MAR",2007,531038.375,31225881,710850,0.7848717434,17.9844,18.8918825,0.00499602891536743,0.0227647700316286,0.01700635363979
"MAR",2008,626413.25,31596855,710850,0.856728209,17.8773666666667,28.9782333333333,0.0973983913559812,0.0224974922345911,0.0198251772209608
"MAR",2009,735019.625,31989897,710850,0.6791510295,18.4047725,30.0391108333333,0.0646154672922359,0.0222210781110049,0.0229766174301843
"MAR",2010,886214.4375,32409639,710850,0.7524763454,18.8866083333333,36.0374208333333,0.000699733550820527,0.0219332896611406,0.0273441625653405
"MAR",2011,1140665.25,32858823,710850,0.8342680017,18.2775583333333,30.2479875,0.0057377299903268,0.0216334589951685,0.0347141238138688
"MAR",2012,1194130.375,33333789,710850,0.851249173,18.09273,27.7167225,0.0138280626523477,0.0213252084844,0.0358234215438275
"MAR",2013,1260110.375,33824769,710850,0.8002055856,18.0306,20.8183641666667,0.00425349122207314,0.0210156645859134,0.0372540718607716
"MAR",2014,1333798.625,34318082,710850,0.8177227419,18.4842916666667,25.2264133333333,0.0384315534023337,0.0207135701814571,0.0388657683433474
"MDG",2002,30098.8828125,16765117,587041,0.3858222494,24.6213416666667,120.625141666667,0.00445690633159086,0.035015622020413,0.00179532793075646
