"iso_o","year","ck","pop_o","area","TO","temperature","rainfall","openness_hat","AperP","ckperP","hat_realopen"
"HND",2011,110959.421875,8351600,112088,1.222169026,24.118675,162.439216666667,0.0128180981343535,0.0134211408592366,0.0132860076961301,1.27369553188947
"HND",2012,114260.53125,8505646,112088,1.2118821581,23.8413333333333,162.4133,0.00472675138861177,0.0131780701900832,0.0134334924413736,1.28158364528946
"HND",2013,118671.203125,8657785,112088,1.1630604925,23.8784916666667,174.35035,0.0368703640938222,0.012946498440421,0.0137068780438646,1.26846984712117
"HND",2014,123703.28125,8809216,112088,1.1297509728,24.0135833333333,154.881808333333,0.00429833005815653,0.0127239472842986,0.0140424847398452,1.26479307351412
"HRV",2002,177479.375,4395819,56538,0.8325011669,11.8136758333333,97.7317333333333,0.0127451342988038,0.0128617670563779,0.0403745866242445,0.752553242195116
"HRV",2003,189622.328125,4388946,56538,0.8519663327,11.4635791666667,65.0655333333333,0.0880616541753254,0.0128819083214968,0.0432045252151656,0.752174333414023
"HRV",2004,206158.328125,4383920,56538,0.8502941474,10.9384983333333,97.8317833333333,0.00801811438508735,0.0128966769466596,0.0470260242260351,0.796972815997545
"HRV",2005,223750.59375,4378057,56538,0.8485714072,10.4430325,98.811325,0.000763296046615334,0.012913947899719,0.0511072820088912,0.809659033117445
"HRV",2006,273110.125,4370699,56538,0.8614956852,11.3541666666667,77.984875,0.0382249901040457,0.0129356883189623,0.0624866011134603,0.836276735455061
"HRV",2007,321670.09375,4362266,56538,0.8522767978,12.1098966666667,84.649575,0.00144191683483896,0.0129606951983212,0.0737392203386955,0.860039342526145
"HRV",2008,332889.1875,4352428,56538,0.8497878443,11.950855,87.0485833333333,0.00700045509083716,0.0129899908740593,0.0764835598658955,0.886515709013104
"HRV",2009,342062.9375,4341084,56538,0.7267367342,11.9061366666667,88.066775,0.0136894388898403,0.0130239359570098,0.0787966640359873,0.772437163882258
"HRV",2010,340853.15625,4328153,56538,0.7564337502,10.9780108333333,120.693391666667,0.000351420863184389,0.0130628469002829,0.0787525663371882,0.80933437142841
"HRV",2011,383591.125,4313371,56538,0.8106127365,11.9149783333333,62.34975,0.0156277302946594,0.0131076135115667,0.0889307052419094,0.881181775316176
"HRV",2012,413344.34375,4296526,56538,0.8258336458,12.1326383333333,78.2538291666667,0.000175660136795799,0.0131590033436316,0.0962043157076205,0.894012017258327
"HRV",2013,412389.46875,4277806,56538,0.8502523644,11.72307,102.898508333333,0.0445449619295075,0.0132165881295225,0.0964020969511006,0.875537642341352
"HRV",2014,411750.84375,4257533,56538,0.8862328858,12.3304333333333,124.027183333333,0.144084441196005,0.0132795212626655,0.0967111338303191,0.876301316454992
"HTI",2002,75377.1875,8834733,27750,0.4812821712,25.2733166666667,102.095933333333,0.00448918610588011,0.00314101173176371,0.00853191460341812,0.542213562178811
"HTI",2003,80495.8984375,8976552,27750,0.636809232,25.4335,144.534633333333,0.000637754678971211,0.00309138742804587,0.00896735165545746,0.549512577246322
"HTI",2004,86913.9296875,9119178,27750,0.5936375875,25.091875,118.264141666667,4.83322329696285e-05,0.00304303743166325,0.00953089518457694,0.597335619684332
"HTI",2005,94238.5234375,9263404,27750,0.5697979588,24.7637,170.344466666667,0.000646579634580627,0.00299565904714941,0.0101732066783981,0.610109161430971
"HTI",2006,101104.2734375,9409457,27750,0.5951769826,25.0898583333333,111.983133333333,0.000895631818984283,0.00294916061575073,0.0107449636506655,0.638414613334341
"HTI",2007,105312.6484375,9556889,27750,0.5218163645,24.433275,174.443041666667,0.000272640944213229,0.00290366457118001,0.0110195533753191,0.643267698555442
"HTI",2008,108108.2421875,9705029,27750,0.5692246299,24.0448333333333,116.979741666667,0.000556948644229308,0.00285934230593232,0.0111394043425836,0.669096772786415
"HTI",2009,109542.8125,9852870,27750,0.582843064,24.5005833333333,102.605558333333,0.000760971025783241,0.00281643825606143,0.0111178582991555,0.564812999872604
"HTI",2010,110129.53125,9999617,27750,0.8009117744,24.2979583333333,166.281516666667,0.000257978662606635,0.00277510628657078,0.0110133749372601,0.61097089249627
