"iso_o","iso_d","contig","dist","distcap"
"AFG","VEN",0,13208.57,13208.57
"AFG","VGB",0,12377.8,12377.8
"AFG","VNM",0,3884.103,3884.103
"AFG","VUT",0,11938.98,11938.98
"AFG","WLF",0,13094.98,13094.98
"AFG","WSM",0,12020.44,12020.44
"AFG","YEM",0,3279.877,3279.877
"AFG","YUG",0,4258.76,4258.76
"AFG","ZAF",0,9273.133,7977.64
"AFG","ZAR",0,7100.062,7100.062
"AFG","ZMB",0,7048.76,7048.76
"AFG","ZWE",0,7088.189,7088.189
"AGO","ABW",0,9516.913,9516.913
"AGO","AFG",0,7607.8,7607.8
"AGO","AGO",0,419.9666,419.9666
"AGO","AIA",0,8901.464,8901.464
"AGO","ALB",0,5623.827,5623.827
"AGO","AND",0,5837.088,5837.088
"AGO","ANT",0,9383.188,9383.188
"AGO","ARE",0,5805.255,5805.255
"AGO","ARG",0,7792.03,7792.03
"AGO","ARM",0,6331.346,6331.346
"AGO","ATG",0,8746.965,8746.965
"AGO","AUS",0,13528.2,13284.23
"AGO","AUT",0,6357.017,6357.017
"AGO","AZE",0,6643.251,6643.251
"AGO","BDI",0,1878.576,1878.576
"AGO","BEL",0,6696.229,6696.229
"AGO","BEN",0,2071.837,2064.176
"AGO","BFA",0,2876.135,2876.135
"AGO","BGD",0,9121.098,9121.098
"AGO","BGR",0,5822.248,5822.248
"AGO","BHR",0,5615.473,5615.473
"AGO","BHS",0,10490.61,10490.61
"AGO","BIH",0,5888.789,5888.789
"AGO","BLR",0,7104.678,7104.678
"AGO","BLZ",0,11578.9,11578.9
"AGO","BMU",0,9436.543,9436.543
"AGO","BOL",0,8830.234,8495.122
"AGO","BRA",0,6559.966,6674.706
"AGO","BRB",0,8414.008,8414.008
"AGO","BRN",0,11386.53,11386.53
"AGO","BTN",0,9162.635,9162.635
"AGO","BWA",0,2223.578,2223.578
"AGO","CAF",0,1586.979,1586.979
"AGO","CAN",0,10904.94,10635.11
"AGO","CCK",0,9114.437,9114.437
"AGO","CHE",0,6235.385,6235.385
"AGO","CHL",0,8914.097,8914.097
"AGO","CHN",0,11769.51,11769.51
"AGO","CIV",0,2480.138,2694.584
"AGO","CMR",0,1424.688,1424.688
"AGO","COG",0,556.9467,556.9467
"AGO","COK",0,16605.09,16605.09
"AGO","COL",0,9911.524,9911.524
"AGO","COM",0,3301.018,3301.018
"AGO","CPV",0,4839.974,4839.974
"AGO","CRI",0,10980.7,10980.7
"AGO","CUB",0,10977.25,10977.25
"AGO","CXR",0,10106.6,10106.6
"AGO","CYM",0,10823.14,10823.14
"AGO","CYP",0,5332.035,5332.035
"AGO","CZE",0,6560.238,6560.238
"AGO","DEU",0,6738.352,6830.042
"AGO","DJI",0,4015.184,4015.184
"AGO","DMA",0,8654.339,8654.339
"AGO","DNK",0,7179.064,7179.064
"AGO","DOM",0,9602.552,9602.552
"AGO","DZA",0,5194.244,5194.244
"AGO","ECU",0,10205.4,10205.4
"AGO","EGY",0,4736.951,4736.951
"AGO","ERI",0,3901.954,3901.954
"AGO","ESH",0,4917.631,4917.631
"AGO","ESP",0,5752.252,5752.252
"AGO","EST",0,7665.317,7665.317
"AGO","ETH",0,3464.567,3464.567
"AGO","FIN",0,7746.235,7746.235
"AGO","FJI",0,16618.51,16618.51
"AGO","FLK",0,7947.249,7947.249
"AGO","FRA",0,6510.322,6510.322
"AGO","FRO",0,8073.677,8073.677
"AGO","FSM",0,16170.59,16170.59
"AGO","GAB",0,1110.371,1110.371
"AGO","GBR",0,6837.594,6837.594
"AGO","GEO",0,6482.799,6482.799
"AGO","GHA",0,2192.395,2192.395
"AGO","GIB",0,5370.596,5370.596
"AGO","GIN",0,3804.649,3804.649
"AGO","GLP",0,8708.249,8708.249
"AGO","GMB",0,4132.186,4132.186
"AGO","GNB",0,3941.227,3941.227
"AGO","GNQ",0,1485.016,1485.016
"AGO","GRC",0,5325.223,5325.223
"AGO","GRD",0,8613.741,8613.741
"AGO","GRL",0,9737.886,9737.886
"AGO","GTM",0,11735.94,11735.94
"AGO","GUF",0,7436.134,7436.134
"AGO","GUY",0,8109.865,8109.865
"AGO","HKG",0,11504.13,11504.13
"AGO","HND",0,11377.58,11377.58
"AGO","HRV",0,6086.698,6086.698
"AGO","HTI",0,9868.396,9868.396
"AGO","HUN",0,6296.004,6296.004
"AGO","IDN",0,10294.87,10294.87
"AGO","IND",0,8025.968,8025.968
"AGO","IRL",0,7160.81,7160.81
"AGO","IRN",0,6368.018,6368.018
"AGO","IRQ",0,5736.821,5736.821
"AGO","ISL",0,8642.954,8642.954
"AGO","ISR",0,5096.148,5096.148
"AGO","ITA",0,5645.243,5645.243
"AGO","JAM",0,10324.34,10324.34
"AGO","JOR",0,5140.358,5140.358
"AGO","JPN",0,13861.75,13861.75
"AGO","KAZ",0,8643.737,8689.369
"AGO","KEN",0,2744.311,2744.311
"AGO","KGZ",0,8454.77,8454.77
"AGO","KHM",0,10393.31,10393.31
"AGO","KIR",0,17657.94,17657.94
"AGO","KNA",0,8842.232,8842.232
"AGO","KOR",0,12705.4,12705.4
"AGO","KWT",0,5649.504,5649.504
"AGO","LAO",0,10254.81,10254.81
"AGO","LBN",0,5301.993,5301.993
"AGO","LBR",0,3154.236,3154.236
"AGO","LBY",0,4626.358,4626.358
"AGO","LCA",0,8580.775,8580.775
"AGO","LKA",0,7594.32,7594.32
"AGO","LSO",0,2721.224,2721.224
"AGO","LTU",0,7158.965,7158.965
"AGO","LUX",0,6540.273,6540.273
"AGO","LVA",0,7388.835,7388.835
"AGO","MAC",0,11443.56,11443.56
"AGO","MAR",0,5221.762,5221.762
"AGO","MDA",0,6403.256,6403.256
"AGO","MDG",0,3857.428,3857.428
"AGO","MDV",0,6836.069,6836.069
"AGO","MEX",0,12686,12686
"AGO","MHL",0,17596.71,17596.71
"AGO","MKD",0,5719.467,5719.467
"AGO","MLI",0,3352.429,3352.429
"AGO","MLT",0,4980.603,4980.603
"AGO","MMR",0,9555.35,9555.35
"AGO","MNG",0,11014.06,11014.06
"AGO","MNP",0,14824.51,14824.51
"AGO","MOZ",0,2794.277,2794.277
"AGO","MRT",0,4395.738,4395.738
"AGO","MSR",0,8775.924,8775.924
