pr,"	Year", Month, Country, ISO3, ISO2
1.88146,1954,3,EGY,,
2.41405,1954,4,EGY,,
0.96895,1954,5,EGY,,
1.42037,1954,6,EGY,,
2.56664,1954,7,EGY,,
2.39005,1954,8,EGY,,
1.09139,1954,9,EGY,,
4.69017,1954,10,EGY,,
3.94259,1954,11,EGY,,
14.0322,1954,12,EGY,,
0.3067,1955,1,EGY,,
0.48072,1955,2,EGY,,
1.21427,1955,3,EGY,,
0.98239,1955,4,EGY,,
0.72521,1955,5,EGY,,
1.42111,1955,6,EGY,,
2.5577,1955,7,EGY,,
2.28447,1955,8,EGY,,
1.06896,1955,9,EGY,,
0.44659,1955,10,EGY,,
5.96632,1955,11,EGY,,
8.18494,1955,12,EGY,,
3.10408,1956,1,EGY,,
2.16387,1956,2,EGY,,
1.92133,1956,3,EGY,,
0.5277,1956,4,EGY,,
0.99124,1956,5,EGY,,
1.42037,1956,6,EGY,,
2.51024,1956,7,EGY,,
2.66565,1956,8,EGY,,
1.09832,1956,9,EGY,,
1.76312,1956,10,EGY,,
1.26487,1956,11,EGY,,
11.8724,1956,12,EGY,,
7.09643,1957,1,EGY,,
5.41076,1957,2,EGY,,
4.03549,1957,3,EGY,,
1.27009,1957,4,EGY,,
3.30615,1957,5,EGY,,
1.60196,1957,6,EGY,,
2.50989,1957,7,EGY,,
2.28668,1957,8,EGY,,
1.22991,1957,9,EGY,,
2.95902,1957,10,EGY,,
3.36729,1957,11,EGY,,
3.52475,1957,12,EGY,,
3.34987,1958,1,EGY,,
0.84114,1958,2,EGY,,
0.27335,1958,3,EGY,,
0.43429,1958,4,EGY,,
0.60526,1958,5,EGY,,
2.24004,1958,6,EGY,,
2.5513,1958,7,EGY,,
2.2642,1958,8,EGY,,
1.07254,1958,9,EGY,,
1.89096,1958,10,EGY,,
0.70315,1958,11,EGY,,
2.39821,1958,12,EGY,,
2.06022,1959,1,EGY,,
4.33426,1959,2,EGY,,
0.79744,1959,3,EGY,,
0.76274,1959,4,EGY,,
0.84174,1959,5,EGY,,
1.42037,1959,6,EGY,,
2.55396,1959,7,EGY,,
2.39515,1959,8,EGY,,
1.07587,1959,9,EGY,,
4.7498,1959,10,EGY,,
0.596,1959,11,EGY,,
4.17256,1959,12,EGY,,
3.1715,1960,1,EGY,,
1.86398,1960,2,EGY,,
1.88932,1960,3,EGY,,
0.72762,1960,4,EGY,,
3.13687,1960,5,EGY,,
1.42056,1960,6,EGY,,
2.50989,1960,7,EGY,,
2.2642,1960,8,EGY,,
1.08796,1960,9,EGY,,
0.33052,1960,10,EGY,,
3.41555,1960,11,EGY,,
1.99415,1960,12,EGY,,
6.83339,1961,1,EGY,,
4.72651,1961,2,EGY,,
0.86617,1961,3,EGY,,
0.46908,1961,4,EGY,,
2.65572,1961,5,EGY,,
1.43322,1961,6,EGY,,
3.13484,1961,7,EGY,,
2.93802,1961,8,EGY,,
1.06209,1961,9,EGY,,
2.93447,1961,10,EGY,,
1.58264,1961,11,EGY,,
9.74452,1961,12,EGY,,
5.46809,1962,1,EGY,,
2.31504,1962,2,EGY,,
0.25992,1962,3,EGY,,
0.47706,1962,4,EGY,,
0.84909,1962,5,EGY,,
1.42037,1962,6,EGY,,
2.54221,1962,7,EGY,,
4.74875,1962,8,EGY,,
1.53609,1962,9,EGY,,
1.32653,1962,10,EGY,,
1.08426,1962,11,EGY,,
2.21631,1962,12,EGY,,
1.00921,1963,1,EGY,,
8.24826,1963,2,EGY,,
1.6829,1963,3,EGY,,
5.09515,1963,4,EGY,,
4.97101,1963,5,EGY,,
1.42044,1963,6,EGY,,
3.17763,1963,7,EGY,,
2.2642,1963,8,EGY,,
1.08521,1963,9,EGY,,
0.66334,1963,10,EGY,,
1.81497,1963,11,EGY,,
2.44575,1963,12,EGY,,
4.95112,1964,1,EGY,,
3.40135,1964,2,EGY,,
0.88823,1964,3,EGY,,
2.32057,1964,4,EGY,,
0.85755,1964,5,EGY,,
1.42057,1964,6,EGY,,
2.54872,1964,7,EGY,,
2.00886,1964,8,EGY,,
1.691,1964,9,EGY,,
0.26466,1964,10,EGY,,
3.29712,1964,11,EGY,,
6.3063,1964,12,EGY,,
8.37766,1965,1,EGY,,
0.92867,1965,2,EGY,,
1.85916,1965,3,EGY,,
2.29446,1965,4,EGY,,
0.60644,1965,5,EGY,,
1.5839,1965,6,EGY,,
2.51814,1965,7,EGY,,
6.7649,1965,8,EGY,,
1.06447,1965,9,EGY,,
4.70609,1965,10,EGY,,
1.21147,1965,11,EGY,,
1.01622,1965,12,EGY,,
